Ticker Symbol,Entity Name,Unique ID,As Of Date,Username,Checkins,Has App,Were Here Count,Likes,Talking About Count,Facebook Id,Date Added,Date Updated,Ticker Sector,Ticker Industry
nyse:dpz,6657899956,2201336,2017-02-11 00:00:00,Dominos,0,False,301414,16551593,111750,6657899956,2017-02-11 13:26:52,2017-02-13 23:50:41,Consumer Services,Travel & Leisure
nyse:dpz,6657899956,2201335,2017-02-10 00:00:00,Dominos,0,False,301219,16549316,115368,6657899956,2017-02-11 13:26:52,2017-02-13 23:50:41,Consumer Services,Travel & Leisure
lon:dom,137239632978345,2207238,2017-02-10 00:00:00,dominos.ch,0,False,0,8784,125,137239632978345,2017-02-11 15:09:28,2017-02-14 03:56:57,Consumer Services,Travel & Leisure
lon:dom,375119861670,2207234,2017-02-10 00:00:00,DominosIreland,0,False,0,79340,340,375119861670,2017-02-11 15:09:26,2017-02-14 03:56:54,Consumer Services,Travel & Leisure
lon:dom,207571100452,2207236,2017-02-10 00:00:00,DominosPizza,0,False,75511,1040455,3595,207571100452,2017-02-11 15:09:27,2017-02-14 03:56:56,Consumer Services,Travel & Leisure
lon:dom,172657786081466,2207232,2017-02-10 00:00:00,dominosdeutschland,772,False,0,240981,1833,172657786081466,2017-02-11 15:09:25,2017-02-14 03:56:53,Consumer Services,Travel & Leisure
nasdaq:pzza,34703237638,2199263,2017-02-10 00:00:00,papajohnsus,5726,False,315335,4988663,36781,34703237638,2017-02-11 12:37:15,2017-02-13 22:23:58,Consumer Services,Travel & Leisure
lon:dom,375119861670,2195463,2017-02-09 00:00:00,DominosIreland,0,False,0,79305,281,375119861670,2017-02-09 15:42:49,2017-02-14 03:56:54,Consumer Services,Travel & Leisure
lon:dom,172657786081466,2195462,2017-02-09 00:00:00,dominosdeutschland,772,False,0,240900,1803,172657786081466,2017-02-09 15:42:48,2017-02-14 03:56:53,Consumer Services,Travel & Leisure
nyse:dpz,6657899956,2192520,2017-02-09 00:00:00,Dominos,0,False,300746,16540789,117234,6657899956,2017-02-09 14:07:58,2017-02-13 23:50:41,Consumer Services,Travel & Leisure
lon:dom,137239632978345,2195465,2017-02-09 00:00:00,dominos.ch,0,False,0,8781,146,137239632978345,2017-02-09 15:42:50,2017-02-14 03:56:57,Consumer Services,Travel & Leisure
nasdaq:pzza,34703237638,2191485,2017-02-09 00:00:00,papajohnsus,5722,False,315093,4984872,36595,34703237638,2017-02-09 13:27:06,2017-02-13 22:23:58,Consumer Services,Travel & Leisure
lon:dom,207571100452,2195464,2017-02-09 00:00:00,DominosPizza,0,False,75475,1040055,1666,207571100452,2017-02-09 15:42:50,2017-02-14 03:56:56,Consumer Services,Travel & Leisure
nyse:dpz,6657899956,2186255,2017-02-08 00:00:00,Dominos,0,False,300555,16531329,119741,6657899956,2017-02-08 15:39:05,2017-02-13 23:50:40,Consumer Services,Travel & Leisure
lon:dom,172657786081466,2189167,2017-02-08 00:00:00,dominosdeutschland,772,False,0,240834,1875,172657786081466,2017-02-08 17:15:43,2017-02-14 03:56:53,Consumer Services,Travel & Leisure
nasdaq:pzza,34703237638,2185220,2017-02-08 00:00:00,papajohnsus,5703,False,314942,4981059,36787,34703237638,2017-02-08 14:52:13,2017-02-13 22:23:58,Consumer Services,Travel & Leisure
lon:dom,207571100452,2189169,2017-02-08 00:00:00,DominosPizza,0,False,75455,1040088,1637,207571100452,2017-02-08 17:15:45,2017-02-14 03:56:56,Consumer Services,Travel & Leisure
lon:dom,375119861670,2189168,2017-02-08 00:00:00,DominosIreland,0,False,0,79296,307,375119861670,2017-02-08 17:15:44,2017-02-14 03:56:54,Consumer Services,Travel & Leisure
lon:dom,137239632978345,2189170,2017-02-08 00:00:00,dominos.ch,0,False,0,8776,131,137239632978345,2017-02-08 17:15:46,2017-02-14 03:56:57,Consumer Services,Travel & Leisure
lon:dom,137239632978345,2181245,2017-02-07 00:00:00,dominos.ch,0,False,0,8750,155,137239632978345,,2017-02-14 03:56:57,Consumer Services,Travel & Leisure
